WEEK,BLOCKCHAIN,NEW_TOKENS,CUMU_NEW_TOKENS
2023-06-05 00:00:00.000,arbitrum,43,1576
2023-06-05 00:00:00.000,bsc,10,382
2023-06-05 00:00:00.000,ethereum,953,80675
2023-06-05 00:00:00.000,optimism,7,256
2023-06-05 00:00:00.000,polygon,49,2623
2023-06-12 00:00:00.000,arbitrum,32,1608
2023-06-12 00:00:00.000,bsc,11,393
2023-06-12 00:00:00.000,ethereum,846,81521
2023-06-12 00:00:00.000,optimism,3,259
2023-06-12 00:00:00.000,polygon,37,2660
2023-06-19 00:00:00.000,arbitrum,25,1633
2023-06-19 00:00:00.000,avalanche,4,4
2023-06-19 00:00:00.000,bsc,15,408
2023-06-19 00:00:00.000,ethereum,941,82462
2023-06-19 00:00:00.000,optimism,4,263
2023-06-19 00:00:00.000,polygon,42,2702
2023-06-26 00:00:00.000,arbitrum,25,1658
2023-06-26 00:00:00.000,bsc,17,425
2023-06-26 00:00:00.000,ethereum,1300,83762
2023-06-26 00:00:00.000,polygon,39,2741
2023-07-03 00:00:00.000,arbitrum,38,1696
2023-07-03 00:00:00.000,avalanche,1,5
2023-07-03 00:00:00.000,bsc,20,445
2023-07-03 00:00:00.000,ethereum,1497,85259
2023-07-03 00:00:00.000,optimism,4,267
2023-07-03 00:00:00.000,polygon,38,2779
2023-07-10 00:00:00.000,arbitrum,19,1715
2023-07-10 00:00:00.000,avalanche,15,20
2023-07-10 00:00:00.000,bsc,11,456
2023-07-10 00:00:00.000,ethereum,1400,86659
2023-07-10 00:00:00.000,optimism,3,270
2023-07-10 00:00:00.000,polygon,56,2835
2023-07-17 00:00:00.000,arbitrum,26,1741
2023-07-17 00:00:00.000,avalanche,6,26
2023-07-17 00:00:00.000,bsc,15,471
2023-07-17 00:00:00.000,ethereum,1295,87954
2023-07-17 00:00:00.000,optimism,7,277
2023-07-17 00:00:00.000,polygon,48,2883
2023-07-24 00:00:00.000,arbitrum,15,1756
2023-07-24 00:00:00.000,avalanche,9,35
2023-07-24 00:00:00.000,bsc,16,487
2023-07-24 00:00:00.000,ethereum,1498,89452
2023-07-24 00:00:00.000,optimism,2,279
2023-07-24 00:00:00.000,polygon,50,2933
2023-07-31 00:00:00.000,arbitrum,23,1779
2023-07-31 00:00:00.000,avalanche,9,44
2023-07-31 00:00:00.000,base,5,5
2023-07-31 00:00:00.000,bsc,13,500
2023-07-31 00:00:00.000,ethereum,1223,90675
2023-07-31 00:00:00.000,optimism,6,285
2023-07-31 00:00:00.000,polygon,45,2978
2023-08-07 00:00:00.000,arbitrum,20,1799
2023-08-07 00:00:00.000,avalanche,4,48
2023-08-07 00:00:00.000,base,318,323
2023-08-07 00:00:00.000,bsc,20,520
2023-08-07 00:00:00.000,ethereum,1140,91815
2023-08-07 00:00:00.000,optimism,5,290
2023-08-07 00:00:00.000,polygon,56,3034
2023-08-14 00:00:00.000,arbitrum,18,1817
2023-08-14 00:00:00.000,avalanche,4,52
2023-08-14 00:00:00.000,base,81,404
2023-08-14 00:00:00.000,bsc,18,538
2023-08-14 00:00:00.000,ethereum,1139,92954
2023-08-14 00:00:00.000,optimism,10,300
2023-08-14 00:00:00.000,polygon,27,3061
2023-08-21 00:00:00.000,arbitrum,13,1830
2023-08-21 00:00:00.000,avalanche,7,59
2023-08-21 00:00:00.000,base,49,453
2023-08-21 00:00:00.000,bsc,16,554
2023-08-21 00:00:00.000,ethereum,1058,94012
2023-08-21 00:00:00.000,optimism,4,304
2023-08-21 00:00:00.000,polygon,33,3094
2023-08-28 00:00:00.000,arbitrum,16,1846
2023-08-28 00:00:00.000,avalanche,3,62
2023-08-28 00:00:00.000,base,30,483
2023-08-28 00:00:00.000,bsc,19,573
2023-08-28 00:00:00.000,ethereum,1015,95027
2023-08-28 00:00:00.000,optimism,7,311
2023-08-28 00:00:00.000,polygon,32,3126
2023-09-04 00:00:00.000,arbitrum,10,1856
2023-09-04 00:00:00.000,base,18,501
2023-09-04 00:00:00.000,bsc,11,584
2023-09-04 00:00:00.000,ethereum,1262,96289
2023-09-04 00:00:00.000,optimism,2,313
2023-09-04 00:00:00.000,polygon,39,3165
2023-09-11 00:00:00.000,arbitrum,16,1872
2023-09-11 00:00:00.000,avalanche,2,64
2023-09-11 00:00:00.000,base,17,518
2023-09-11 00:00:00.000,bsc,11,595
2023-09-11 00:00:00.000,ethereum,1173,97462
2023-09-11 00:00:00.000,optimism,3,316
2023-09-11 00:00:00.000,polygon,33,3198
2023-09-18 00:00:00.000,arbitrum,21,1893
2023-09-18 00:00:00.000,avalanche,2,66
2023-09-18 00:00:00.000,base,17,535
2023-09-18 00:00:00.000,bsc,15,610
2023-09-18 00:00:00.000,ethereum,1051,98513
2023-09-18 00:00:00.000,optimism,8,324
2023-09-18 00:00:00.000,polygon,27,3225
2023-09-25 00:00:00.000,arbitrum,16,1909
2023-09-25 00:00:00.000,avalanche,3,69
2023-09-25 00:00:00.000,base,8,543
2023-09-25 00:00:00.000,bsc,11,621
2023-09-25 00:00:00.000,ethereum,920,99433
2023-09-25 00:00:00.000,optimism,1,325
2023-09-25 00:00:00.000,polygon,33,3258
2023-10-02 00:00:00.000,arbitrum,17,1926
2023-10-02 00:00:00.000,avalanche,2,71
2023-10-02 00:00:00.000,base,13,556
2023-10-02 00:00:00.000,bsc,11,632
2023-10-02 00:00:00.000,ethereum,977,100410
2023-10-02 00:00:00.000,optimism,4,329
2023-10-02 00:00:00.000,polygon,23,3281
2023-10-09 00:00:00.000,arbitrum,10,1936
2023-10-09 00:00:00.000,avalanche,3,74
2023-10-09 00:00:00.000,base,8,564
2023-10-09 00:00:00.000,bsc,17,649
2023-10-09 00:00:00.000,ethereum,789,101199
2023-10-09 00:00:00.000,optimism,3,332
2023-10-09 00:00:00.000,polygon,33,3314
2023-10-16 00:00:00.000,arbitrum,8,1944
2023-10-16 00:00:00.000,avalanche,2,76
2023-10-16 00:00:00.000,base,1,565
2023-10-16 00:00:00.000,bsc,13,662
2023-10-16 00:00:00.000,ethereum,765,101964
2023-10-16 00:00:00.000,optimism,6,338
2023-10-16 00:00:00.000,polygon,30,3344
2023-10-23 00:00:00.000,arbitrum,13,1957
2023-10-23 00:00:00.000,avalanche,4,80
2023-10-23 00:00:00.000,base,3,568
2023-10-23 00:00:00.000,bsc,17,679
2023-10-23 00:00:00.000,ethereum,778,102742
2023-10-23 00:00:00.000,optimism,6,344
2023-10-23 00:00:00.000,polygon,37,3381
2023-10-30 00:00:00.000,arbitrum,14,1971
2023-10-30 00:00:00.000,avalanche,2,82
2023-10-30 00:00:00.000,base,9,577
2023-10-30 00:00:00.000,bsc,14,693
2023-10-30 00:00:00.000,ethereum,722,103464
2023-10-30 00:00:00.000,polygon,20,3401
2023-11-06 00:00:00.000,arbitrum,13,1984
2023-11-06 00:00:00.000,avalanche,3,85
2023-11-06 00:00:00.000,base,12,589
2023-11-06 00:00:00.000,bsc,10,703
2023-11-06 00:00:00.000,ethereum,708,104172
2023-11-06 00:00:00.000,optimism,11,355
2023-11-06 00:00:00.000,polygon,30,3431
2023-11-13 00:00:00.000,arbitrum,12,1996
2023-11-13 00:00:00.000,avalanche,5,90
2023-11-13 00:00:00.000,base,8,597
2023-11-13 00:00:00.000,bsc,15,718
2023-11-13 00:00:00.000,ethereum,861,105033
2023-11-13 00:00:00.000,optimism,3,358
