DATE,UNIQUE_TOKEN_COUNT,AVG_TX_FEE_USD,AVG_ETH_PRICE
2021-07-09 00:00:00.000,2602,11.106542216,2127.337416437
2021-07-10 00:00:00.000,2703,7.836837777,2126.045182063
2021-07-11 00:00:00.000,2666,5.651723231,2128.108117636
2021-07-12 00:00:00.000,2484,13.025389528,2107.922376326
2021-07-13 00:00:00.000,2412,13.334932169,2002.218910398
2021-07-14 00:00:00.000,2368,17.288291669,1948.176399611
2021-07-15 00:00:00.000,2338,17.038467422,1951.370945815
2021-07-16 00:00:00.000,2344,14.467452057,1910.572224465
2021-07-17 00:00:00.000,2405,11.332672182,1888.730745821
2021-07-18 00:00:00.000,2499,10.068592651,1941.843197257
2021-07-19 00:00:00.000,2511,11.329218181,1860.579742863
2021-07-20 00:00:00.000,2452,13.451005282,1775.923092821
2021-07-21 00:00:00.000,2585,10.204778973,1886.027438319
2021-07-22 00:00:00.000,2457,15.223029386,2000.719192571
2021-07-23 00:00:00.000,2511,14.507633278,2049.135134635
2021-07-24 00:00:00.000,2691,8.987562269,2146.809258918
2021-07-25 00:00:00.000,2537,9.087861628,2158.366314598
2021-07-26 00:00:00.000,2525,18.994166272,2317.913316209
2021-07-27 00:00:00.000,2447,15.444347474,2235.674841079
2021-07-28 00:00:00.000,2407,19.677652036,2297.245071839
2021-07-29 00:00:00.000,2410,14.168799668,2306.644408912
2021-07-30 00:00:00.000,2425,17.415981884,2378.156659723
2021-07-31 00:00:00.000,2466,15.743995071,2458.242976915
2021-08-01 00:00:00.000,2514,17.686158825,2593.287123345
2021-08-02 00:00:00.000,2401,19.933981806,2597.126935999
2021-08-03 00:00:00.000,2318,22.764488474,2523.282056515
2021-08-04 00:00:00.000,2416,23.466992923,2570.67583358
2021-08-05 00:00:00.000,2264,32.802006895,2713.341287778
2021-08-06 00:00:00.000,2390,30.85078874,2813.475936707
