WEEK,BLOCKCHAIN,UNIQUE_TOKEN_COUNT
2023-08-14 00:00:00.000,optimism,133
2023-08-14 00:00:00.000,polygon,800
2023-08-21 00:00:00.000,arbitrum,366
2023-08-21 00:00:00.000,avalanche,45
2023-08-21 00:00:00.000,base,129
2023-08-21 00:00:00.000,bsc,199
2023-08-21 00:00:00.000,ethereum,7796
2023-08-21 00:00:00.000,optimism,131
2023-08-21 00:00:00.000,polygon,768
2023-08-28 00:00:00.000,arbitrum,366
2023-08-28 00:00:00.000,avalanche,42
2023-08-28 00:00:00.000,base,101
2023-08-28 00:00:00.000,bsc,248
2023-08-28 00:00:00.000,ethereum,7787
2023-08-28 00:00:00.000,optimism,132
2023-08-28 00:00:00.000,polygon,738
2023-09-04 00:00:00.000,arbitrum,362
2023-09-04 00:00:00.000,avalanche,41
2023-09-04 00:00:00.000,base,83
2023-09-04 00:00:00.000,bsc,182
2023-09-04 00:00:00.000,ethereum,8173
2023-09-04 00:00:00.000,optimism,123
2023-09-04 00:00:00.000,polygon,753
2023-09-11 00:00:00.000,arbitrum,366
2023-09-11 00:00:00.000,avalanche,41
2023-09-11 00:00:00.000,base,85
2023-09-11 00:00:00.000,bsc,186
2023-09-11 00:00:00.000,ethereum,8181
2023-09-11 00:00:00.000,optimism,117
2023-09-11 00:00:00.000,polygon,753
2023-09-18 00:00:00.000,arbitrum,381
2023-09-18 00:00:00.000,avalanche,41
2023-09-18 00:00:00.000,base,89
2023-09-18 00:00:00.000,bsc,181
2023-09-18 00:00:00.000,ethereum,8494
2023-09-18 00:00:00.000,optimism,127
2023-09-18 00:00:00.000,polygon,734
2023-09-25 00:00:00.000,arbitrum,384
2023-09-25 00:00:00.000,avalanche,45
2023-09-25 00:00:00.000,base,77
2023-09-25 00:00:00.000,bsc,195
2023-09-25 00:00:00.000,ethereum,8303
2023-09-25 00:00:00.000,optimism,129
2023-09-25 00:00:00.000,polygon,819
2023-10-02 00:00:00.000,arbitrum,361
2023-10-02 00:00:00.000,avalanche,47
2023-10-02 00:00:00.000,base,82
2023-10-02 00:00:00.000,bsc,213
2023-10-02 00:00:00.000,ethereum,9028
2023-10-02 00:00:00.000,optimism,128
2023-10-02 00:00:00.000,polygon,769
2023-10-09 00:00:00.000,arbitrum,351
2023-10-09 00:00:00.000,avalanche,43
2023-10-09 00:00:00.000,base,76
2023-10-09 00:00:00.000,bsc,228
2023-10-09 00:00:00.000,ethereum,8357
2023-10-09 00:00:00.000,optimism,131
2023-10-09 00:00:00.000,polygon,781
2023-10-16 00:00:00.000,arbitrum,365
2023-10-16 00:00:00.000,avalanche,49
2023-10-16 00:00:00.000,base,79
2023-10-16 00:00:00.000,bsc,240
2023-10-16 00:00:00.000,ethereum,7949
2023-10-16 00:00:00.000,optimism,132
2023-10-16 00:00:00.000,polygon,782
2023-10-23 00:00:00.000,arbitrum,380
2023-10-23 00:00:00.000,avalanche,49
2023-10-23 00:00:00.000,base,68
2023-10-23 00:00:00.000,bsc,237
2023-10-23 00:00:00.000,ethereum,7316
2023-10-23 00:00:00.000,optimism,138
2023-10-23 00:00:00.000,polygon,819
2023-10-30 00:00:00.000,arbitrum,384
2023-10-30 00:00:00.000,avalanche,47
2023-10-30 00:00:00.000,base,73
2023-10-30 00:00:00.000,bsc,229
2023-10-30 00:00:00.000,ethereum,7181
2023-10-30 00:00:00.000,optimism,127
2023-10-30 00:00:00.000,polygon,807
2023-11-06 00:00:00.000,arbitrum,396
2023-11-06 00:00:00.000,avalanche,48
2023-11-06 00:00:00.000,base,77
2023-11-06 00:00:00.000,bsc,225
2023-11-06 00:00:00.000,ethereum,6802
2023-11-06 00:00:00.000,optimism,133
2023-11-06 00:00:00.000,polygon,829
2023-11-13 00:00:00.000,arbitrum,365
2023-11-13 00:00:00.000,avalanche,56
2023-11-13 00:00:00.000,base,81
2023-11-13 00:00:00.000,bsc,238
2023-11-13 00:00:00.000,ethereum,7154
2023-11-13 00:00:00.000,optimism,124
2023-11-13 00:00:00.000,polygon,854
2023-11-20 00:00:00.000,arbitrum,375
2023-11-20 00:00:00.000,avalanche,52
2023-11-20 00:00:00.000,base,73
2023-11-20 00:00:00.000,bsc,242
2023-11-20 00:00:00.000,ethereum,6844
2023-11-20 00:00:00.000,optimism,137
2023-11-20 00:00:00.000,polygon,870
2023-11-27 00:00:00.000,arbitrum,391
2023-11-27 00:00:00.000,avalanche,58
2023-11-27 00:00:00.000,base,79
2023-11-27 00:00:00.000,bsc,249
2023-11-27 00:00:00.000,ethereum,7048
2023-11-27 00:00:00.000,optimism,130
2023-11-27 00:00:00.000,polygon,833
2023-12-04 00:00:00.000,arbitrum,427
2023-12-04 00:00:00.000,avalanche,71
2023-12-04 00:00:00.000,base,86
2023-12-04 00:00:00.000,bsc,262
2023-12-04 00:00:00.000,ethereum,6991
2023-12-04 00:00:00.000,optimism,134
2023-12-04 00:00:00.000,polygon,908
2023-12-11 00:00:00.000,arbitrum,410
2023-12-11 00:00:00.000,avalanche,65
2023-12-11 00:00:00.000,base,81
2023-12-11 00:00:00.000,bsc,267
2023-12-11 00:00:00.000,ethereum,6387
2023-12-11 00:00:00.000,optimism,139
2023-12-11 00:00:00.000,polygon,836
2023-12-18 00:00:00.000,arbitrum,433
2023-12-18 00:00:00.000,avalanche,54
2023-12-18 00:00:00.000,base,91
2023-12-18 00:00:00.000,bsc,262
2023-12-18 00:00:00.000,ethereum,6633
2023-12-18 00:00:00.000,optimism,144
2023-12-18 00:00:00.000,polygon,862
2023-12-25 00:00:00.000,arbitrum,453
2023-12-25 00:00:00.000,avalanche,67
2023-12-25 00:00:00.000,base,102
2023-12-25 00:00:00.000,bsc,289
2023-12-25 00:00:00.000,ethereum,7711
2023-12-25 00:00:00.000,optimism,149
2023-12-25 00:00:00.000,polygon,910
2024-01-01 00:00:00.000,arbitrum,466
2024-01-01 00:00:00.000,avalanche,67
